,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
205,right now - dyro radio edit,rihanna,barbadian pop,2013,130,74,53,-6,24,45,186,0,4,42
206,give it 2 u,robin thicke,dance pop,2013,127,83,67,-4,16,58,230,10,7,41
207,foolish games,jewel,alaska indie,2013,132,34,51,-11,12,7,250,23,3,36
208,outta nowhere (feat. danny mercer),pitbull,dance pop,2013,95,84,71,-4,21,66,207,16,3,35
209,freak,kelly rowland,atl hip hop,2013,104,78,65,-5,12,45,274,13,6,28
210,all of me,john legend,neo mellow,2014,120,26,42,-7,13,33,270,92,3,86
211,stay with me,sam smith,pop,2014,84,42,42,-6,11,18,173,59,4,85
212,summer,calvin harris,dance pop,2014,128,86,60,-4,14,74,223,2,3,80
213,"happy - from ""despicable me 2""",pharrell williams,dance pop,2014,160,82,65,-5,9,96,233,22,18,79
214,rude,magic!,pop,2014,144,76,77,-5,31,93,225,4,4,79
215,shake it off,taylor swift,pop,2014,160,80,65,-5,33,94,219,6,17,78
216,dark horse,katy perry,dance pop,2014,132,59,65,-6,17,35,216,0,5,78
217,hey brother,avicii,big room,2014,125,78,55,-5,8,46,255,3,4,78
218,maps,maroon 5,pop,2014,120,71,74,-6,6,88,190,2,3,78
219,treasure,bruno mars,pop,2014,116,69,87,-5,32,94,179,4,4,77
220,let her go,passenger,folk-pop,2014,75,54,51,-7,10,24,253,39,6,77
221,problem,ariana grande,dance pop,2014,103,81,66,-5,16,63,194,2,15,75
222,pompeii,bastille,metropopolis,2014,127,72,68,-6,27,57,214,8,4,73
223,team,lorde,art pop,2014,100,58,69,-7,31,42,193,17,9,73
224,love me again,john newman,pop,2014,126,89,50,-5,10,21,240,0,4,73
225,latch,disclosure,house,2014,122,73,50,-5,9,52,256,2,17,72
226,adore you,miley cyrus,dance pop,2014,120,66,58,-5,11,20,279,11,3,72
227,love never felt so good,michael jackson,pop,2014,118,72,78,-6,7,71,246,13,4,71
228,burn,ellie goulding,dance pop,2014,87,78,56,-5,11,33,231,31,4,71
229,she looks so perfect,5 seconds of summer,boy band,2014,160,95,49,-4,33,44,202,0,13,71
230,fancy,iggy azalea,australian hip hop,2014,95,72,91,-4,5,38,200,9,7,70
231,talk dirty (feat. 2 chainz),jason derulo,dance pop,2014,100,65,76,-7,31,76,178,3,23,68
232,gorilla,bruno mars,pop,2014,140,54,72,-7,10,64,244,45,4,68
233,human,christina perri,dance pop,2014,144,49,44,-6,11,25,251,13,4,68
234,young girls,bruno mars,pop,2014,126,75,56,-5,21,50,229,46,3,67
235,wiggle (feat. snoop dogg),jason derulo,dance pop,2014,82,62,70,-7,16,72,193,8,25,67
236,love runs out,onerepublic,dance pop,2014,120,93,72,-4,8,74,225,17,6,66
237,this is how we do,katy perry,dance pop,2014,96,64,69,-6,15,80,204,2,5,66
238,mmm yeah (feat. pitbull),austin mahone,dance pop,2014,126,92,71,-4,27,98,232,0,4,65
239,a little party never killed nobody (all we got),fergie,dance pop,2014,130,62,76,-6,9,52,241,1,18,65
240,#selfie,the chainsmokers,electropop,2014,128,92,79,-3,8,66,184,1,25,65
241,partition,beyoncé,dance pop,2014,186,44,41,-12,31,17,319,3,29,65
242,birthday,katy perry,dance pop,2014,126,67,72,-5,11,84,215,9,7,65
243,g.u.y.,lady gaga,dance pop,2014,110,92,62,-3,12,57,233,1,4,65
244,stay the night - featuring hayley williams of paramore,zedd,complextro,2014,128,74,60,-3,9,46,217,11,4,64
245,"let it go - from ""frozen / single version",demi lovato,dance pop,2014,140,66,50,-6,27,25,226,3,4,63
246,wings,birdy,neo mellow,2014,83,71,47,-5,16,22,252,8,3,62
247,can't remember to forget you (feat. rihanna),shakira,colombian pop,2014,138,81,69,-4,14,82,207,12,7,62
248,shot me down (feat. skylar grey) - radio edit,david guetta,dance pop,2014,192,77,35,-4,12,4,191,6,5,61
249,say something,a great big world,neo mellow,2014,138,15,45,-9,9,9,229,87,3,61
250,a sky full of stars,coldplay,permanent wave,2014,125,68,55,-6,21,16,268,1,3,60
251,come get it bae,pharrell williams,dance pop,2014,120,80,93,-6,10,90,202,27,8,59
252,chandelier,sia,australian dance,2014,174,78,29,-3,7,62,216,2,7,56
253,xo,beyoncé,dance pop,2014,170,79,47,-9,31,21,216,17,26,56
254,we are one (ole ola) [the official 2014 fifa world cup song],pitbull,dance pop,2014,125,94,60,-4,10,55,222,0,7,56
255,not about angels,birdy,neo mellow,2014,116,14,41,-10,9,23,190,97,4,56
256,drunk in love,beyoncé,dance pop,2014,140,62,59,-7,18,40,323,1,5,52
257,anaconda,nicki minaj,dance pop,2014,130,60,96,-6,21,65,260,7,18,50
